move;PHD1;(;14,38;74,24;);a
move;PHD2;(;14,38;65,24;);a
move;PHD3;(;14,38;56,24;);a
move;PHD4;(;14,38;47,24;);a
move;PHD5;(;14,38;38,24;);a
move;PHD6;(;14,38;29,24;);a
move;PHD7;(;14,38;20,24;);a
move;PHD8;(;14,38;11,24;);a
move;PHD9;(;23,38;74,24;);a
move;PHD10;(;23,38;65,24;);a
move;PHD11;(;23,38;56,24;);a
move;PHD12;(;23,38;47,24;);a
move;PHD13;(;23,38;38,24;);a
move;PHD14;(;23,38;29,24;);a
move;PHD15;(;23,38;20,24;);a
move;PHD16;(;23,38;11,24;);a
move;PHD17;(;32,38;74,24;);a
move;PHD18;(;32,38;65,24;);a
move;PHD19;(;32,38;56,24;);a
move;PHD20;(;32,38;47,24;);a
move;PHD21;(;32,38;38,24;);a
move;PHD22;(;32,38;29,24;);a
move;PHD23;(;32,38;20,24;);a
move;PHD24;(;32,38;11,24;);a
move;PHD25;(;41,38;74,24;);a
move;PHD26;(;41,38;65,24;);a
move;PHD27;(;41,38;56,24;);a
move;PHD28;(;41,38;47,24;);a
move;PHD29;(;41,38;38,24;);a
move;PHD30;(;41,38;29,24;);a
move;PHD31;(;41,38;20,24;);a
move;PHD32;(;41,38;11,24;);a
move;PHD33;(;50,38;74,24;);a
move;PHD34;(;50,38;65,24;);a
move;PHD35;(;50,38;56,24;);a
move;PHD36;(;50,38;47,24;);a
move;PHD37;(;50,38;38,24;);a
move;PHD38;(;50,38;29,24;);a
move;PHD39;(;50,38;20,24;);a
move;PHD40;(;50,38;11,24;);a
move;PHD41;(;59,38;74,24;);a
move;PHD42;(;59,38;65,24;);a
move;PHD43;(;59,38;56,24;);a
move;PHD44;(;59,38;47,24;);a
move;PHD45;(;59,38;38,24;);a
move;PHD46;(;59,38;29,24;);a
move;PHD47;(;59,38;20,24;);a
move;PHD48;(;59,38;11,24;);a
move;PHD49;(;68,38;74,24;);a
move;PHD50;(;68,38;65,24;);a
move;PHD51;(;68,38;56,24;);a
move;PHD52;(;68,38;47,24;);a
move;PHD53;(;68,38;38,24;);a
move;PHD54;(;68,38;29,24;);a
move;PHD55;(;68,38;20,24;);a
move;PHD56;(;68,38;11,24;);a
move;PHD57;(;77,38;74,24;);a
move;PHD58;(;77,38;65,24;);a
move;PHD59;(;77,38;56,24;);a
move;PHD60;(;77,38;47,24;);a
move;PHD61;(;77,38;38,24;);a
move;PHD62;(;77,38;29,24;);a
move;PHD63;(;77,38;20,24;);a
move;PHD64;(;77,38;11,24;);a
move;PHD65;(;86,38;74,24;);a
move;PHD66;(;86,38;65,24;);a
move;PHD67;(;86,38;56,24;);a
move;PHD68;(;86,38;47,24;);a
move;PHD69;(;86,38;38,24;);a
move;PHD70;(;86,38;29,24;);a
move;PHD71;(;86,38;20,24;);a
move;PHD72;(;86,38;11,24;);a
move;PHD73;(;95,38;74,24;);a
move;PHD74;(;95,38;65,24;);a
move;PHD75;(;95,38;56,24;);a
move;PHD76;(;95,38;47,24;);a
move;PHD77;(;95,38;38,24;);a
move;PHD78;(;95,38;29,24;);a
move;PHD79;(;95,38;20,24;);a
move;PHD80;(;95,38;11,24;);a
move;PHD81;(;104,38;74,24;);a
move;PHD82;(;104,38;65,24;);a
move;PHD83;(;104,38;56,24;);a
move;PHD84;(;104,38;47,24;);a
move;PHD85;(;104,38;38,24;);a
move;PHD86;(;104,38;29,24;);a
move;PHD87;(;104,38;20,24;);a
move;PHD88;(;104,38;11,24;);a
move;PHD89;(;113,38;74,24;);a
move;PHD90;(;113,38;65,24;);a
move;PHD91;(;113,38;56,24;);a
move;PHD92;(;113,38;47,24;);a
move;PHD93;(;113,38;38,24;);a
move;PHD94;(;113,38;29,24;);a
move;PHD95;(;113,38;20,24;);a
move;PHD96;(;113,38;11,24;);a
